Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
CADM2	Q8N3J6;Q8N3J6-2;Q8N3J6-3;Q8N3J6-4;Q8N3J6-5	28967.3	3696	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
ZNF664	Q8N3J9	4104.99	7269	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
VPS8	Q8N3P4;Q8N3P4-3	7741.89	6232	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
MPP5	Q8N3R9;Q8N3R9-2	4141.18	7259	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
PHTF2	Q8N3S3;Q8N3S3-2;Q8N3S3-3;Q8N3S3-4;Q8N3S3-7	1198.16	8259	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
STAG2	Q8N3U4;Q8N3U4-2	3111.72	7582	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
SYNPO	Q8N3V7;Q8N3V7-2;Q8N3V7-3	1133.84	8284	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
FNBP4	Q8N3X1;Q8N3X1-2	6030.14	6659	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
FBXW8	Q8N3Y1;Q8N3Y1-2	3133.62	7577	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
GTPBP8	Q8N3Z3	20285.7	4338	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
PGBD5	Q8N414	20705.7	4293	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
GALNT16	Q8N428	15773	4838	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
GUF1	Q8N442	9321.54	5875	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
FBXL16	Q8N461	18181.3	4539	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
D2HGDH	Q8N465	11996.4	5400	iPSC motor neurons	Single shot	1	WT	iPSC motor neurons_WT
